label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
P,0.3604060913705584,1.0,1.0,0.5329949238578681,0.9411764705882353,0.7829457364341085,0.6345177664974619,0.7352941176470589,0.6356589147286822,0.6142131979695431,0.5630252100840336,0.49612403100775193,0.5888324873096447,0.41596638655462187,0.3643410852713178,0.4873096446700508,0.5,0.5968992248062015,0.5736040609137056,0.28991596638655465,0.3178294573643411,0.6243654822335025,0.13445378151260504,0.16279069767441862,0.6700507614213198,0.0,0.05426356589147287,0.29949238578680204,0.5,0.5658914728682171,0.5634517766497462,0.4327731092436975,0.17054263565891473,0.8121827411167513,0.46638655462184875,0.031007751937984496,1.0,0.5042016806722689,0.0,0.13705583756345177,0.5588235294117647,0.5271317829457365,0.41116751269035534,0.6050420168067226,0.16279069767441862,0.4213197969543147,0.8235294117647058,0.24031007751937986,0.39593908629441626,0.9621848739495799,0.3875968992248062,0.0,0.6512605042016807,0.4728682170542636,0.23857868020304568,0.6890756302521008,0.20155038759689922,0.29441624365482233,0.8445378151260504,0.2713178294573643,0.29441624365482233,0.9327731092436975,0.3875968992248062
P,0.29473684210526313,1.0,1.0,0.5263157894736842,0.9128787878787878,0.7837837837837838,0.6526315789473685,0.6818181818181818,0.6891891891891891,0.631578947368421,0.5,0.5945945945945946,0.6105263157894737,0.35984848484848486,0.5,0.47368421052631576,0.4659090909090909,0.7162162162162162,0.5684210526315789,0.2727272727272727,0.4189189189189189,0.6157894736842106,0.12878787878787878,0.25675675675675674,0.6631578947368421,0.0,0.14864864864864866,0.2894736842105263,0.4621212121212121,0.6621621621621622,0.5684210526315789,0.4166666666666667,0.14864864864864866,0.8105263157894737,0.42424242424242425,0.0,1.0,0.44696969696969696,0.0,0.13157894736842105,0.5113636363636364,0.5675675675675675,0.4368421052631579,0.5795454545454546,0.08108108108108109,0.4473684210526316,0.7689393939393939,0.1891891891891892,0.42105263157894735,0.8901515151515151,0.3783783783783784,0.0,0.5946969696969697,0.44594594594594594,0.2578947368421053,0.6553030303030303,0.0945945945945946,0.29473684210526313,0.7954545454545454,0.16216216216216217,0.2789473684210526,0.8825757575757576,0.32432432432432434
P,0.2736842105263158,1.0,1.0,0.5105263157894737,0.8827838827838828,0.8051948051948052,0.631578947368421,0.663003663003663,0.6883116883116883,0.6157894736842106,0.4908424908424908,0.5584415584415584,0.5789473684210527,0.34798534798534797,0.42857142857142855,0.4473684210526316,0.4542124542124542,0.7532467532467533,0.5526315789473685,0.26373626373626374,0.44155844155844154,0.6105263157894737,0.12454212454212454,0.2597402597402597,0.6578947368421053,0.0,0.14285714285714285,0.2736842105263158,0.4542124542124542,0.6623376623376623,0.5631578947368421,0.4139194139194139,0.16883116883116883,0.8105263157894737,0.42857142857142855,0.012987012987012988,1.0,0.46153846153846156,0.0,0.12105263157894737,0.5018315018315018,0.5584415584415584,0.4368421052631579,0.5641025641025641,0.07792207792207792,0.4421052631578947,0.73992673992674,0.14285714285714285,0.41578947368421054,0.8608058608058609,0.3246753246753247,0.0,0.5860805860805861,0.42857142857142855,0.2631578947368421,0.6373626373626373,0.07792207792207792,0.2894736842105263,0.7692307692307693,0.12987012987012986,0.2631578947368421,0.8498168498168498,0.2597402597402597
P,0.2712765957446808,1.0,1.0,0.5159574468085106,0.8741007194244604,0.8194444444444444,0.6382978723404256,0.6726618705035972,0.7083333333333334,0.6329787234042553,0.5107913669064749,0.5416666666666666,0.5904255319148937,0.3776978417266187,0.4027777777777778,0.4521276595744681,0.4460431654676259,0.7777777777777778,0.5585106382978723,0.25539568345323743,0.4583333333333333,0.6170212765957447,0.1223021582733813,0.2638888888888889,0.6702127659574468,0.0,0.1388888888888889,0.2765957446808511,0.4460431654676259,0.6805555555555556,0.5585106382978723,0.39568345323741005,0.16666666666666666,0.8085106382978723,0.4136690647482014,0.013888888888888888,1.0,0.4568345323741007,0.0,0.12234042553191489,0.49640287769784175,0.5555555555555556,0.44680851063829785,0.5575539568345323,0.06944444444444445,0.4521276595744681,0.7302158273381295,0.1527777777777778,0.4148936170212766,0.841726618705036,0.3472222222222222,0.0,0.5755395683453237,0.3888888888888889,0.2765957446808511,0.6258992805755396,0.06944444444444445,0.2925531914893617,0.7482014388489209,0.1527777777777778,0.25,0.8201438848920863,0.3055555555555556
P,0.28415300546448086,1.0,1.0,0.5355191256830601,0.8642857142857143,0.8169014084507042,0.6502732240437158,0.6607142857142857,0.704225352112676,0.639344262295082,0.49642857142857144,0.5492957746478874,0.6120218579234973,0.3607142857142857,0.4084507042253521,0.4644808743169399,0.45,0.8028169014084507,0.5737704918032787,0.2571428571428571,0.4647887323943662,0.6284153005464481,0.12142857142857143,0.28169014084507044,0.6830601092896175,0.0,0.15492957746478872,0.2896174863387978,0.45357142857142857,0.704225352112676,0.5628415300546448,0.3964285714285714,0.19718309859154928,0.8087431693989071,0.4107142857142857,0.014084507042253521,1.0,0.45,0.0,0.13114754098360656,0.49642857142857144,0.5774647887323944,0.4426229508196721,0.55,0.09859154929577464,0.453551912568306,0.7142857142857143,0.16901408450704225,0.4262295081967213,0.8321428571428572,0.352112676056338,0.0,0.5714285714285714,0.4225352112676056,0.2677595628415301,0.6214285714285714,0.11267605633802817,0.29508196721311475,0.7357142857142858,0.18309859154929578,0.2677595628415301,0.8142857142857143,0.323943661971831
P,0.2786885245901639,1.0,1.0,0.5409836065573771,0.8633093525179856,0.7971014492753623,0.6612021857923497,0.658273381294964,0.6811594202898551,0.644808743169399,0.49640287769784175,0.5217391304347826,0.6120218579234973,0.36330935251798563,0.391304347826087,0.4808743169398907,0.44244604316546765,0.7971014492753623,0.5901639344262295,0.2517985611510791,0.463768115942029,0.6502732240437158,0.11870503597122302,0.2753623188405797,0.7049180327868853,0.0,0.15942028985507245,0.3005464480874317,0.44244604316546765,0.7101449275362319,0.5737704918032787,0.3920863309352518,0.18840579710144928,0.8142076502732241,0.41007194244604317,0.014492753623188406,1.0,0.45323741007194246,0.0,0.1366120218579235,0.4892086330935252,0.5797101449275363,0.4426229508196721,0.5467625899280576,0.057971014492753624,0.44808743169398907,0.7194244604316546,0.11594202898550725,0.4262295081967213,0.8381294964028777,0.30434782608695654,0.0,0.564748201438849,0.43478260869565216,0.2568306010928962,0.6115107913669064,0.08695652173913043,0.2896174863387978,0.737410071942446,0.14492753623188406,0.273224043715847,0.8273381294964028,0.2898550724637681
P,0.27717391304347827,1.0,1.0,0.5434782608695652,0.8673835125448028,0.7916666666666666,0.6684782608695652,0.6630824372759857,0.6805555555555556,0.6467391304347826,0.5017921146953405,0.5277777777777778,0.625,0.3727598566308244,0.4027777777777778,0.4891304347826087,0.4444444444444444,0.7777777777777778,0.6032608695652174,0.25089605734767023,0.4444444444444444,0.6630434782608695,0.11827956989247312,0.2638888888888889,0.717391304347826,0.0,0.1527777777777778,0.30978260869565216,0.4444444444444444,0.6944444444444444,0.5652173913043478,0.3942652329749104,0.18055555555555555,0.8097826086956522,0.4121863799283154,0.0,1.0,0.4551971326164875,0.0,0.14673913043478262,0.4910394265232975,0.5833333333333334,0.44021739130434784,0.5448028673835126,0.06944444444444445,0.45108695652173914,0.7204301075268817,0.125,0.41847826086956524,0.8387096774193549,0.3194444444444444,0.0,0.5663082437275986,0.4444444444444444,0.25,0.6093189964157706,0.09722222222222222,0.2826086956521739,0.7311827956989247,0.16666666666666666,0.2554347826086957,0.8136200716845878,0.3055555555555556
P,0.2777777777777778,1.0,1.0,0.55,0.8690909090909091,0.7761194029850746,0.6833333333333333,0.6618181818181819,0.6716417910447762,0.6666666666666666,0.49818181818181817,0.5074626865671642,0.6222222222222222,0.36727272727272725,0.373134328358209,0.5055555555555555,0.44727272727272727,0.7761194029850746,0.6166666666666667,0.2509090909090909,0.43283582089552236,0.6833333333333333,0.12,0.2537313432835821,0.7388888888888889,0.0,0.14925373134328357,0.32222222222222224,0.44363636363636366,0.6865671641791045,0.5666666666666667,0.3890909090909091,0.16417910447761194,0.8055555555555556,0.4109090909090909,0.0,1.0,0.45454545454545453,0.0,0.15,0.48727272727272725,0.582089552238806,0.43333333333333335,0.5418181818181819,0.04477611940298507,0.4444444444444444,0.7163636363636363,0.11940298507462686,0.4166666666666667,0.8363636363636363,0.31343283582089554,0.0,0.56,0.43283582089552236,0.24444444444444444,0.6072727272727273,0.07462686567164178,0.2777777777777778,0.730909090909091,0.14925373134328357,0.2611111111111111,0.8181818181818182,0.29850746268656714
P,0.2840909090909091,1.0,1.0,0.5625,0.8786764705882353,0.7575757575757576,0.7102272727272727,0.6838235294117647,0.6212121212121212,0.6931818181818182,0.5257352941176471,0.4696969696969697,0.6477272727272727,0.40441176470588236,0.3181818181818182,0.5340909090909091,0.45588235294117646,0.7272727272727273,0.6590909090909091,0.25735294117647056,0.4090909090909091,0.7272727272727273,0.1213235294117647,0.22727272727272727,0.7840909090909091,0.0,0.12121212121212122,0.3465909090909091,0.4522058823529412,0.6818181818181818,0.5852272727272727,0.39705882352941174,0.16666666666666666,0.8125,0.41911764705882354,0.0,1.0,0.4632352941176471,0.0,0.16477272727272727,0.4852941176470588,0.5757575757575758,0.4375,0.5404411764705882,0.045454545454545456,0.4318181818181818,0.7132352941176471,0.09090909090909091,0.4034090909090909,0.8382352941176471,0.2727272727272727,0.0,0.5551470588235294,0.45454545454545453,0.23863636363636365,0.5992647058823529,0.07575757575757576,0.2727272727272727,0.7279411764705882,0.13636363636363635,0.2556818181818182,0.8235294117647058,0.2878787878787879
P,0.2857142857142857,1.0,1.0,0.56,0.8888888888888888,0.75,0.7257142857142858,0.7037037037037037,0.6111111111111112,0.72,0.5444444444444444,0.4444444444444444,0.6685714285714286,0.42962962962962964,0.2916666666666667,0.5485714285714286,0.46296296296296297,0.7361111111111112,0.68,0.25555555555555554,0.4166666666666667,0.7428571428571429,0.12222222222222222,0.2222222222222222,0.8057142857142857,0.0,0.125,0.35428571428571426,0.45555555555555555,0.6805555555555556,0.5828571428571429,0.3962962962962963,0.16666666666666666,0.8171428571428572,0.4185185185185185,0.013888888888888888,1.0,0.45925925925925926,0.0,0.17142857142857143,0.4925925925925926,0.5833333333333334,0.4342857142857143,0.5370370370370371,0.05555555555555555,0.44,0.7148148148148148,0.125,0.4114285714285714,0.837037037037037,0.3055555555555556,0.0,0.5592592592592592,0.4444444444444444,0.24,0.6,0.09722222222222222,0.26857142857142857,0.725925925925926,0.16666666666666666,0.24,0.8148148148148148,0.3194444444444444
